Date,Open,High,Low,Close,Volume,Adj Close
2014-01-10,34.68,35.30,33.82,33.93,3548500,33.93
2014-01-09,35.80,36.50,34.51,35.29,4373700,35.29
2014-01-08,35.26,36.78,35.26,36.18,3401600,36.18
2014-01-07,34.92,35.78,34.68,35.24,2517400,35.24
2014-01-06,37.80,37.81,34.91,35.16,3597300,35.16
2014-01-03,37.30,38.40,36.30,37.40,4299200,37.40
2014-01-02,37.50,38.13,36.90,37.58,3912800,37.58
2014-01-01,37.22,37.22,37.22,37.22,000,37.22
2013-12-31,37.38,37.99,36.50,37.22,4148700,37.22
2013-12-30,35.30,38.38,35.30,37.78,5596900,37.78
2013-12-27,34.05,35.90,34.04,35.20,4427500,35.20
2013-12-26,35.00,36.50,34.18,34.35,5793300,34.35
2013-12-25,34.70,35.27,33.73,35.00,5753700,35.00
2013-12-24,33.90,35.32,33.86,35.00,6185400,35.00
2013-12-23,31.85,35.04,31.85,34.30,6616900,34.30
2013-12-20,30.83,32.32,30.52,32.00,3991700,32.00
2013-12-19,31.36,31.77,30.81,30.84,2938600,30.84
2013-12-18,29.99,31.36,29.81,31.16,2982200,31.16
2013-12-17,30.80,31.00,29.70,30.11,3614300,30.11
2013-12-16,32.80,32.80,30.80,30.80,5266100,30.80
2013-12-13,32.99,33.60,32.22,32.92,3245000,32.92
2013-12-12,31.92,33.33,31.89,32.80,4260100,32.80
2013-12-11,32.37,32.79,31.76,31.85,3638500,31.85
2013-12-10,33.60,34.30,32.30,32.41,5437300,32.41
2013-12-09,32.88,33.95,31.76,33.90,8910400,33.90
2013-12-06,35.29,35.29,35.29,35.29,000,35.29
2013-12-05,35.29,35.29,35.29,35.29,000,35.29
2013-12-04,35.29,35.29,35.29,35.29,000,35.29
2013-12-03,35.29,35.29,35.29,35.29,000,35.29
2013-12-02,35.29,35.29,35.29,35.29,000,35.29
2013-11-29,32.00,35.39,31.70,35.29,10586800,35.29
2013-11-28,31.28,32.25,30.60,32.21,5549100,32.21
2013-11-27,30.68,31.32,30.47,31.10,4910400,31.10
2013-11-26,29.10,31.20,29.10,30.79,6132700,30.79
2013-11-25,29.04,29.49,28.70,29.10,1563700,29.10
2013-11-22,29.61,30.06,28.80,29.04,2304600,29.04
2013-11-21,29.95,30.38,29.53,29.65,3793100,29.65
2013-11-20,28.90,29.88,28.90,29.83,4137200,29.83
2013-11-19,28.98,29.08,28.68,28.72,2742600,28.72
2013-11-18,28.30,29.09,28.28,28.64,3197500,28.64
2013-11-15,26.92,28.18,26.92,28.12,2568400,28.12
2013-11-14,26.21,26.98,25.85,26.98,1012200,26.98
2013-11-13,26.50,26.88,26.20,26.23,680400,26.23
2013-11-12,26.50,26.95,26.50,26.76,626700,26.76
2013-11-11,26.10,26.70,26.00,26.52,409500,26.52
2013-11-08,26.66,26.85,26.05,26.16,602700,26.16
2013-11-07,27.01,27.18,26.67,26.70,757800,26.70
2013-11-06,27.35,27.72,27.13,27.18,927700,27.18
2013-11-05,26.85,27.34,26.83,27.29,925400,27.29
2013-11-04,27.11,27.64,26.81,26.99,823600,26.99
2013-11-01,27.65,27.83,27.01,27.10,787600,27.10
2013-10-31,28.41,28.58,27.51,27.65,792900,27.65
2013-10-30,27.96,28.56,27.90,28.40,1399900,28.40
2013-10-29,27.69,27.98,25.11,27.97,1876900,27.97
2013-10-28,27.50,28.09,27.33,27.81,898800,27.81
2013-10-25,27.25,27.78,27.25,27.40,1158400,27.40
2013-10-24,27.25,27.87,27.01,27.25,1240300,27.25
2013-10-23,28.10,28.28,27.02,27.39,1962900,27.39
2013-10-22,29.29,29.39,28.00,28.12,2568700,28.12
2013-10-21,28.90,29.47,28.80,29.38,2744200,29.38
2013-10-18,28.23,28.75,27.80,28.75,1602700,28.75
2013-10-17,28.44,28.63,27.82,28.00,1558100,28.00
2013-10-16,29.28,29.80,27.93,28.28,3168500,28.28
2013-10-15,29.51,30.38,29.13,29.87,4196600,29.87
2013-10-14,29.98,29.98,28.93,29.48,2255200,29.48
2013-10-11,29.53,30.16,29.24,29.85,2387900,29.85
2013-10-10,30.19,30.41,29.23,29.49,2895700,29.49
2013-10-09,29.90,30.70,29.82,30.21,3660000,30.21
2013-10-08,28.30,30.30,28.05,30.17,4438700,30.17
2013-10-07,28.35,28.35,28.35,28.35,000,28.35
2013-10-04,28.35,28.35,28.35,28.35,000,28.35
2013-10-03,28.35,28.35,28.35,28.35,000,28.35
2013-10-02,28.35,28.35,28.35,28.35,000,28.35
2013-10-01,28.35,28.35,28.35,28.35,000,28.35
2013-09-30,27.91,28.39,27.80,28.35,1096100,28.35
2013-09-27,27.85,28.19,27.62,27.70,1230200,27.70
2013-09-26,28.29,28.39,27.62,27.85,1670200,27.85
2013-09-25,28.80,29.19,28.10,28.35,2084400,28.35
2013-09-24,29.50,29.58,28.58,29.00,2324700,29.00
2013-09-23,28.43,29.37,28.35,29.34,2555200,29.34
2013-09-20,28.30,28.30,28.30,28.30,000,28.30
2013-09-18,28.04,28.69,28.02,28.30,1782200,28.30
2013-09-17,28.58,29.03,28.13,28.41,2355600,28.41
2013-09-16,28.00,28.94,27.85,28.52,2549900,28.52
2013-09-13,27.69,28.17,26.86,28.02,2383600,28.02
2013-09-12,27.42,27.98,27.40,27.70,2303600,27.70
2013-09-11,28.78,28.99,27.19,27.63,3526800,27.63
2013-09-10,29.52,29.65,28.66,28.81,2971000,28.81
2013-09-09,30.40,30.74,29.07,29.40,3227400,29.40
2013-09-06,30.40,30.85,30.12,30.40,1605400,30.40
2013-09-05,30.00,30.92,29.75,30.37,2127600,30.37
2013-09-04,30.45,30.80,29.82,30.10,1986900,30.10
2013-09-03,29.50,30.62,29.20,30.61,2232900,30.61
2013-09-02,29.09,29.99,29.01,29.50,2172400,29.50
2013-08-30,30.61,30.87,29.00,29.35,3758200,29.35
2013-08-29,30.65,31.49,30.65,30.76,2512000,30.76
2013-08-28,31.80,31.98,30.57,30.65,3758600,30.65
2013-08-27,31.80,32.39,31.60,32.20,3006100,32.20
2013-08-26,30.11,32.36,30.11,32.09,4613000,32.09
2013-08-23,30.30,30.79,29.37,30.20,6272200,30.20
2013-08-22,30.89,31.95,30.72,30.78,4384800,30.78
2013-08-21,31.11,31.18,30.58,30.98,4451200,30.98
2013-08-20,29.22,31.33,29.01,31.31,10557500,31.31
2013-08-19,27.55,29.66,27.50,29.19,3935900,29.19
2013-08-16,28.15,28.70,27.02,27.10,2590200,27.10
2013-08-15,29.26,29.85,28.38,28.40,3994200,28.40
2013-08-14,28.15,29.10,28.15,28.98,4540700,28.98
2013-08-13,28.27,28.40,27.80,28.11,2296700,28.11
2013-08-12,28.80,28.93,27.80,28.28,2500000,28.28
2013-08-09,28.77,29.36,27.97,28.80,2697300,28.80
2013-08-08,28.46,29.20,28.28,28.66,1755800,28.66
2013-08-07,29.41,29.80,28.52,28.53,2784100,28.53
2013-08-06,29.39,29.76,28.87,29.47,2689700,29.47
2013-08-05,29.01,29.95,29.00,29.42,2210300,29.42
2013-08-02,28.51,29.30,28.51,28.99,3309600,28.99
2013-08-01,27.56,28.74,27.54,28.63,2661600,28.63
2013-07-31,27.11,28.18,27.11,27.57,2343400,27.57
2013-07-30,28.08,28.34,26.31,27.01,2560200,27.01
2013-07-29,28.80,28.80,27.86,27.90,2274400,27.90
2013-07-26,28.80,29.30,27.72,28.86,2743800,28.86
2013-07-25,30.72,31.00,28.69,28.78,4946800,28.78
2013-07-24,29.75,30.98,29.51,30.72,5382700,30.72
2013-07-23,29.27,30.40,29.27,30.10,5518900,30.10
2013-07-22,27.70,29.30,27.52,29.22,5412000,29.22
2013-07-19,29.20,30.25,27.88,28.00,6755600,28.00
2013-07-18,27.55,29.82,27.49,29.44,8562400,29.44
2013-07-17,28.48,28.98,27.66,27.98,5602700,27.98
2013-07-16,27.38,28.62,27.12,28.62,6235200,28.62
2013-07-15,27.06,27.95,26.67,27.35,5567300,27.35
2013-07-12,26.30,27.18,26.00,26.03,3266700,26.03
2013-07-11,25.86,26.58,25.58,26.43,2867500,26.43
2013-07-10,25.27,25.95,25.13,25.85,2370300,25.85
2013-07-09,24.58,25.38,24.58,25.27,2161100,25.27
2013-07-08,25.52,25.99,24.56,24.99,3372000,24.99
2013-07-05,27.80,27.97,26.65,26.66,3770800,26.66
2013-07-04,27.00,28.19,26.28,27.45,6203000,27.45
2013-07-03,27.00,27.38,25.90,27.27,4553700,27.27
2013-07-02,26.00,27.10,25.89,27.10,4546000,27.10
2013-07-01,25.15,26.09,24.71,26.00,2413100,26.00
2013-06-28,25.72,26.50,24.91,25.12,3086500,25.12
2013-06-27,27.36,27.38,25.92,26.23,5008200,26.23
2013-06-26,26.12,27.49,25.69,27.24,5688000,27.24
2013-06-25,24.80,26.46,22.85,26.21,4903600,26.21
2013-06-24,26.18,26.66,24.63,25.02,2891400,25.02
2013-06-21,25.60,26.98,25.04,26.38,3057700,26.38
2013-06-20,27.66,28.10,26.18,26.31,3459300,26.31
2013-06-19,27.50,28.06,26.58,28.00,3563800,28.00
2013-06-18,27.39,27.97,27.01,27.63,3108200,27.63
2013-06-17,26.97,28.36,26.50,27.28,5349300,27.28
2013-06-14,25.02,27.17,25.01,26.77,4942800,26.77
2013-06-13,25.51,25.51,24.59,25.00,2791900,24.77
2013-06-12,26.00,26.00,26.00,26.00,000,25.77
2013-06-11,26.00,26.00,26.00,26.00,000,25.77
