Date,Open,High,Low,Close,Volume,Adj Close
2014-01-10,35.90,36.48,34.44,36.48,3659700,36.48
2014-01-09,37.45,37.45,35.88,35.90,2350800,35.90
2014-01-08,36.86,38.97,36.53,37.45,1465100,37.45
2014-01-07,35.31,38.33,34.90,37.20,3708500,37.20
2014-01-06,35.90,36.60,35.00,35.31,2411600,35.31
2014-01-03,35.75,38.21,35.61,35.90,6254100,35.90
2014-01-02,33.42,36.76,32.43,36.50,8205600,36.50
2014-01-01,33.42,33.42,33.42,33.42,000,33.42
2013-12-31,32.55,34.58,31.30,33.42,4222400,33.42
2013-12-30,31.80,32.80,31.46,32.49,2180100,32.49
2013-12-27,31.18,32.00,30.71,31.90,3906000,31.90
2013-12-26,31.20,31.98,30.70,31.48,2960900,31.48
2013-12-25,29.10,32.00,29.10,31.35,5135400,31.35
2013-12-24,28.00,30.00,27.82,29.33,3419300,29.33
2013-12-23,28.17,28.22,27.38,27.90,832200,27.90
2013-12-20,28.45,28.47,27.47,28.13,1063600,28.13
2013-12-19,28.35,28.93,28.22,28.47,1901200,28.47
2013-12-18,28.20,28.79,28.10,28.26,1301800,28.26
2013-12-17,29.08,29.08,28.01,28.33,1571900,28.33
2013-12-16,29.29,29.49,28.62,28.80,1314600,28.80
2013-12-13,28.47,29.53,28.08,29.35,2790900,29.35
2013-12-12,27.65,28.78,27.59,28.50,4726100,28.50
2013-12-11,27.95,27.95,27.30,27.62,870400,27.62
2013-12-10,27.50,28.06,27.27,27.95,2455700,27.95
2013-12-09,27.71,27.98,26.98,27.42,3260000,27.42
2013-12-06,28.32,28.32,27.51,27.69,1642500,27.69
2013-12-05,27.80,28.59,27.62,28.00,6547200,28.00
2013-12-04,28.80,28.80,27.82,28.40,8050600,28.40
2013-12-03,28.33,29.29,27.27,28.68,2487400,28.68
2013-12-02,28.70,30.10,26.80,28.35,3727100,28.35
2013-11-29,29.00,29.81,28.40,29.64,4144300,29.64
2013-11-28,30.00,30.18,28.80,29.42,11908400,29.42
2013-11-27,28.16,29.88,28.16,29.85,5589400,29.85
2013-11-26,28.02,28.62,27.89,28.16,2069100,28.16
2013-11-25,26.20,29.00,25.91,28.03,4365400,28.03
2013-11-22,26.65,26.80,26.01,26.50,1443200,26.50
2013-11-21,26.58,27.08,26.51,26.65,867700,26.65
2013-11-20,27.50,27.56,26.70,26.94,1388400,26.94
2013-11-19,27.00,27.15,26.50,26.95,833900,26.95
2013-11-18,26.79,27.15,26.60,26.90,1159400,26.90
2013-11-15,26.27,27.10,26.25,26.40,1652600,26.40
2013-11-14,25.38,26.40,25.16,26.30,1195500,26.30
2013-11-13,25.35,25.78,25.20,25.45,606000,25.45
2013-11-12,25.85,26.16,25.49,25.49,736100,25.49
2013-11-11,25.79,26.26,25.31,25.95,1081500,25.95
2013-11-08,25.99,26.35,24.55,25.69,1651100,25.69
2013-11-07,27.40,27.56,25.55,26.00,2056100,26.00
2013-11-06,27.07,27.62,26.90,27.34,2679600,27.34
2013-11-05,25.79,26.98,25.79,26.58,1726100,26.58
2013-11-04,25.60,26.26,25.21,25.80,1274000,25.80
2013-11-01,24.95,25.70,24.95,25.20,1104700,25.20
2013-10-31,26.20,26.38,24.86,25.38,3083400,25.38
2013-10-30,26.60,27.03,25.70,26.48,2265700,26.48
2013-10-29,27.20,27.87,26.20,26.60,2093000,26.60
2013-10-28,27.59,28.06,27.18,27.30,1903800,27.30
2013-10-25,27.50,27.78,26.50,27.13,2188100,27.13
2013-10-24,26.50,27.29,26.47,27.13,1663400,27.13
2013-10-23,26.46,27.08,26.00,26.57,1985000,26.57
2013-10-22,26.93,27.21,26.40,26.55,1816300,26.55
2013-10-21,27.18,27.23,26.61,27.01,1776100,27.01
2013-10-18,26.70,27.45,26.70,26.90,912800,26.90
2013-10-17,26.70,27.20,26.55,26.91,1312500,26.91
2013-10-16,27.46,27.49,26.14,26.86,1643900,26.86
2013-10-15,27.70,28.00,26.76,27.46,1541700,27.46
2013-10-14,27.87,28.14,27.55,27.70,1175800,27.70
2013-10-11,27.99,28.18,27.54,27.89,1515700,27.89
2013-10-10,29.47,29.59,27.66,28.04,3212100,28.04
2013-10-09,29.65,29.98,29.20,29.49,1881300,29.49
2013-10-08,28.40,30.00,28.40,29.70,3056400,29.70
