Date,Open,High,Low,Close,Volume,Adj Close
2014-01-10,41.50,42.23,40.20,40.31,11784500,40.31
2014-01-09,42.71,43.39,41.75,41.79,15954200,41.79
2014-01-08,40.70,43.44,39.90,42.79,27213300,42.79
2014-01-07,38.20,40.88,38.20,40.28,23242600,40.28
2014-01-06,37.00,38.15,36.75,37.17,10057000,37.17
2014-01-03,36.99,37.40,36.37,37.14,9625300,37.14
2014-01-02,36.81,37.24,36.35,37.12,9364900,37.12
2014-01-01,36.97,36.97,36.97,36.97,000,36.97
2013-12-31,36.89,37.58,36.78,36.97,5256300,36.97
2013-12-30,35.88,37.45,35.88,37.30,7561600,37.30
2013-12-27,35.60,36.18,35.30,35.76,7037900,35.76
2013-12-26,36.80,37.38,35.50,35.66,7284200,35.66
2013-12-25,35.89,36.90,35.36,36.87,7440600,36.87
2013-12-24,36.95,37.19,35.08,35.81,13654600,35.81
2013-12-23,37.32,38.00,36.40,36.48,8573600,36.48
2013-12-20,37.42,38.40,36.81,37.32,5884900,37.32
2013-12-19,37.22,38.47,37.22,37.60,6187100,37.60
2013-12-18,38.20,38.20,36.81,37.71,10217500,37.71
2013-12-17,40.51,40.96,37.71,38.43,11257400,38.43
2013-12-16,41.40,41.99,40.10,40.80,8641200,40.80
2013-12-13,40.58,41.54,40.28,41.19,9545800,41.19
2013-12-12,39.90,41.67,39.54,40.99,14726800,40.99
2013-12-11,39.50,40.84,38.86,40.01,10192700,40.01
2013-12-10,39.80,41.10,39.50,39.83,12170400,39.83
2013-12-09,38.10,39.93,38.05,39.63,12714000,39.63
2013-12-06,37.85,38.56,36.50,37.95,10382600,37.95
2013-12-05,39.00,39.90,37.68,37.83,16122700,37.83
2013-12-04,36.79,39.80,36.76,37.64,12817100,37.64
2013-12-03,37.94,37.94,35.00,36.99,17305000,36.99
2013-12-02,40.90,40.90,38.04,38.24,20002300,38.24
2013-11-29,40.80,42.60,40.64,42.27,14128600,42.27
2013-11-28,40.70,41.50,40.11,40.65,8401200,40.65
2013-11-27,38.60,41.78,38.55,40.75,13029600,40.75
2013-11-26,38.31,38.98,37.84,38.80,7692700,38.80
2013-11-25,38.75,38.89,37.43,38.31,12132700,38.31
2013-11-22,41.15,41.33,38.47,39.03,16112300,39.03
2013-11-21,40.20,41.70,39.82,41.14,8915400,41.14
