Date,Open,High,Low,Close,Volume,Adj Close
2014-01-10,17.35,18.08,17.33,17.54,923600,17.54
2014-01-09,17.48,18.40,17.43,17.48,1469200,17.48
2014-01-08,17.50,17.65,17.10,17.46,1389200,17.46
2014-01-07,17.31,17.54,17.01,17.27,1144700,17.27
2014-01-06,18.90,18.90,17.20,17.38,2647400,17.38
2014-01-03,18.65,19.47,18.22,19.04,4753600,19.04
2014-01-02,17.76,18.69,17.76,18.69,2299700,18.69
2014-01-01,16.99,16.99,16.99,16.99,000,16.99
2013-12-31,16.89,17.11,16.70,16.99,669100,16.99
2013-12-30,17.47,17.50,17.00,17.04,928800,17.04
2013-12-27,17.23,17.48,17.17,17.46,541900,17.46
2013-12-26,17.45,17.54,17.19,17.23,721300,17.23
2013-12-25,17.15,17.60,17.05,17.43,739200,17.43
2013-12-24,16.58,17.31,16.58,17.13,712600,17.13
2013-12-23,16.91,17.00,16.50,16.74,502600,16.74
2013-12-20,17.04,17.10,16.65,16.94,582300,16.94
2013-12-19,17.42,17.60,17.02,17.04,607800,17.04
2013-12-18,17.15,17.63,17.01,17.42,522800,17.42
2013-12-17,17.10,17.34,16.91,17.12,665800,17.12
2013-12-16,17.80,17.84,17.25,17.26,799800,17.26
2013-12-13,17.72,17.83,17.46,17.81,751300,17.81
2013-12-12,17.67,18.05,17.59,17.72,782700,17.72
2013-12-11,18.24,18.24,17.58,17.67,1170100,17.67
2013-12-10,18.89,18.97,18.30,18.34,980900,18.34
2013-12-09,18.62,18.95,18.50,18.77,1018000,18.77
2013-12-06,18.30,18.77,18.13,18.61,1015400,18.61
2013-12-05,17.90,18.70,17.90,18.30,1089300,18.30
2013-12-04,18.04,18.58,17.84,18.29,1167200,18.29
2013-12-03,17.32,18.18,17.32,18.02,1533800,18.02
2013-12-02,19.16,19.16,17.71,17.77,2703200,17.77
2013-11-29,19.73,20.07,19.51,19.68,2133800,19.68
2013-11-28,19.09,20.18,19.00,19.97,3057400,19.97
2013-11-27,18.70,19.45,18.48,19.01,1559300,19.01
2013-11-26,18.63,18.84,18.45,18.64,1262200,18.64
2013-11-25,19.10,19.18,18.30,18.49,2801900,18.49
2013-11-22,20.08,20.38,19.40,19.48,2620600,19.48
2013-11-21,19.28,20.56,19.18,19.92,4290400,19.92
