Date,Open,High,Low,Close,Volume,Adj Close
2014-01-06,4.74,4.74,4.41,4.46,17422600,4.46
2014-01-03,4.84,4.85,4.71,4.73,10482900,4.73
2014-01-02,4.93,4.94,4.84,4.87,8823000,4.87
2014-01-01,4.93,4.93,4.93,4.93,000,4.93
2013-12-31,4.95,5.02,4.91,4.93,6562700,4.93
2013-12-30,4.93,5.01,4.86,4.97,6794500,4.97
2013-12-27,4.82,4.90,4.82,4.89,6071300,4.89
2013-12-26,5.06,5.07,4.74,4.81,15438700,4.81
2013-12-25,5.10,5.10,5.00,5.05,9985500,5.05
2013-12-24,5.04,5.21,5.04,5.09,10680900,5.09
2013-12-23,5.04,5.17,4.98,5.05,6776900,5.05
2013-12-20,5.21,5.28,4.98,5.04,12353100,5.04
2013-12-19,5.47,5.52,5.20,5.24,12710900,5.24
2013-12-18,5.43,5.55,5.37,5.46,7310000,5.46
2013-12-17,5.54,5.59,5.36,5.42,11288500,5.42
2013-12-16,5.72,5.74,5.50,5.54,11653300,5.54
2013-12-13,5.71,5.99,5.65,5.68,20576900,5.68
2013-12-12,5.56,5.84,5.50,5.76,22226000,5.76
2013-12-11,5.66,5.66,5.51,5.56,6201700,5.56
2013-12-10,5.45,5.66,5.45,5.62,14708900,5.62
2013-12-09,5.55,5.63,5.36,5.48,21666800,5.48
2013-12-06,5.74,5.74,5.53,5.57,14301600,5.57
2013-12-05,5.74,5.82,5.69,5.73,9218300,5.73
2013-12-04,5.83,5.87,5.70,5.75,22029900,5.75
2013-12-03,5.69,5.89,5.59,5.88,16387800,5.88
2013-12-02,5.50,5.75,5.50,5.70,29296100,5.70
2013-11-29,5.80,5.85,5.56,5.79,28080100,5.79
2013-11-28,5.79,5.99,5.77,5.82,23880300,5.82
2013-11-27,5.73,5.83,5.68,5.75,15102000,5.75
2013-11-26,6.10,6.10,5.80,5.80,19090000,5.80
2013-11-25,5.79,6.06,5.70,6.00,33202400,6.00
2013-11-22,5.68,5.87,5.64,5.78,26881900,5.78
2013-11-21,5.74,5.91,5.63,5.67,40422400,5.67
2013-11-20,5.82,5.94,5.64,5.84,36461100,5.84
2013-11-19,5.45,5.99,5.36,5.77,49529300,5.77
2013-11-18,5.28,5.63,5.22,5.45,33912000,5.45
2013-11-15,5.36,5.49,5.25,5.30,27927000,5.30
2013-11-14,5.04,5.45,5.02,5.38,45795800,5.38
2013-11-13,4.97,5.19,4.88,5.10,23149400,5.10
2013-11-12,5.06,5.22,4.92,4.93,17607300,4.93
2013-11-11,5.00,5.05,4.86,4.99,14155200,4.99
2013-11-08,5.04,5.25,5.00,5.01,23503400,5.01
2013-11-07,4.85,5.20,4.85,5.07,41607600,5.07
2013-11-06,4.81,5.02,4.81,4.90,30059600,4.90
2013-11-05,4.68,4.87,4.63,4.83,12846900,4.83
2013-11-04,4.65,4.72,4.60,4.69,9205500,4.69
2013-11-01,4.73,4.76,4.60,4.65,14446700,4.65
2013-10-31,4.61,4.79,4.61,4.76,21204600,4.76
2013-10-30,4.46,4.58,4.35,4.58,8978900,4.58
2013-10-29,4.65,4.68,4.31,4.49,14037000,4.49
2013-10-28,4.68,4.72,4.58,4.68,5258900,4.68
2013-10-25,4.75,4.78,4.65,4.66,6068100,4.66
2013-10-24,4.74,4.81,4.71,4.74,7618800,4.74
2013-10-23,4.94,4.95,4.74,4.74,14134000,4.74
2013-10-22,5.03,5.03,4.91,4.92,12802600,4.92
2013-10-21,4.93,5.05,4.88,5.04,22553000,5.04
2013-10-18,4.94,4.96,4.85,4.89,9171400,4.89
2013-10-17,4.86,5.00,4.83,4.91,14241800,4.91
2013-10-16,4.92,5.02,4.80,4.83,15643000,4.83
2013-10-15,4.92,4.94,4.81,4.93,12622300,4.93
2013-10-14,4.96,5.00,4.84,4.87,13674900,4.87
2013-10-11,4.92,5.05,4.85,5.00,21873300,5.00
2013-10-10,4.76,5.06,4.73,4.94,33388400,4.94
2013-10-09,4.73,4.79,4.69,4.77,7359900,4.77
2013-10-08,4.62,4.77,4.61,4.73,11061600,4.73
2013-10-07,4.62,4.62,4.62,4.62,000,4.62
2013-10-04,4.62,4.62,4.62,4.62,000,4.62
2013-10-03,4.62,4.62,4.62,4.62,000,4.62
2013-10-02,4.62,4.62,4.62,4.62,000,4.62
2013-10-01,4.62,4.62,4.62,4.62,000,4.62
2013-09-30,4.60,4.68,4.59,4.62,6064000,4.62
2013-09-27,4.56,4.67,4.55,4.60,6453500,4.60
2013-09-26,4.71,4.74,4.51,4.55,10592400,4.55
2013-09-25,4.77,4.85,4.70,4.72,16771100,4.72
2013-09-24,4.80,4.83,4.68,4.80,17361900,4.80
2013-09-23,4.73,4.87,4.72,4.82,15485000,4.82
2013-09-20,4.70,4.70,4.70,4.70,000,4.70
2013-09-18,4.74,4.77,4.61,4.70,18231900,4.70
2013-09-17,4.88,4.99,4.70,4.75,21628700,4.75
2013-09-16,4.88,5.06,4.80,4.87,25620900,4.87
2013-09-13,4.75,4.96,4.70,4.90,34444000,4.90
2013-09-12,4.78,4.84,4.74,4.77,15239800,4.77
2013-09-11,4.86,4.86,4.72,4.78,21625100,4.78
2013-09-10,4.73,4.94,4.69,4.85,35612100,4.85
2013-09-09,4.63,4.85,4.58,4.74,30155700,4.74
2013-09-06,4.64,4.69,4.57,4.63,16195100,4.63
2013-09-05,4.66,4.75,4.60,4.64,14738300,4.64
2013-09-04,4.78,4.85,4.60,4.64,27334500,4.64
2013-09-03,4.60,4.87,4.50,4.78,28868800,4.78
2013-09-02,4.78,4.85,4.51,4.57,24896800,4.57
2013-08-30,4.62,4.95,4.58,4.76,40760700,4.76
2013-08-29,4.59,4.67,4.52,4.60,30350000,4.60
2013-08-28,4.50,4.60,4.35,4.52,20786500,4.52
