Date,Open,High,Low,Close,Volume,Adj Close
2014-01-06,10.33,10.33,10.33,10.33,000,10.33
2014-01-03,10.33,10.33,10.33,10.33,000,10.33
2014-01-02,10.33,10.33,10.33,10.33,000,10.33
2014-01-01,10.33,10.33,10.33,10.33,000,10.33
2013-12-31,10.33,10.33,10.33,10.33,000,10.33
2013-12-30,10.33,10.33,10.33,10.33,000,10.33
2013-12-27,9.37,10.33,9.35,10.33,7080300,10.33
2013-12-26,9.38,9.88,9.27,9.39,3407800,9.39
2013-12-25,8.89,9.38,8.86,9.35,2102300,9.35
2013-12-24,8.84,9.04,8.83,8.93,900600,8.93
2013-12-23,8.95,9.05,8.73,8.90,865400,8.90
2013-12-20,9.10,9.13,8.83,8.95,1334000,8.95
2013-12-19,9.30,9.48,9.06,9.10,1316200,9.10
2013-12-18,9.23,9.41,9.05,9.37,2039500,9.37
2013-12-17,9.26,9.79,9.11,9.36,3338800,9.36
2013-12-16,9.11,9.34,9.02,9.27,2836900,9.27
2013-12-13,8.83,9.13,8.80,9.06,1469700,9.06
2013-12-12,8.66,8.93,8.66,8.83,1050300,8.83
2013-12-11,8.94,8.94,8.66,8.72,803800,8.72
2013-12-10,8.97,9.03,8.82,8.94,718300,8.94
2013-12-09,8.70,8.94,8.70,8.92,1049100,8.92
2013-12-06,8.78,8.80,8.64,8.76,670100,8.76
2013-12-05,8.55,8.81,8.55,8.75,816100,8.75
2013-12-04,8.54,8.82,8.50,8.67,1443600,8.67
2013-12-03,8.40,8.62,8.26,8.58,1345100,8.58
2013-12-02,9.05,9.05,8.39,8.45,3498300,8.45
2013-11-29,9.08,9.37,9.08,9.32,2342600,9.32
2013-11-28,9.08,9.22,9.08,9.12,1281100,9.12
2013-11-27,9.06,9.15,8.89,9.09,1259700,9.09
2013-11-26,9.60,9.60,8.80,9.04,1547100,9.04
2013-11-25,8.81,8.92,8.70,8.80,1176800,8.80
2013-11-22,8.80,8.87,8.69,8.81,1279700,8.81
2013-11-21,9.20,9.44,8.84,8.86,3443200,8.86
2013-11-20,8.69,8.95,8.69,8.95,1680600,8.95
2013-11-19,8.72,8.87,8.68,8.71,1450800,8.71
2013-11-18,8.77,8.77,8.61,8.69,1482400,8.69
2013-11-15,8.59,8.76,8.46,8.58,1263100,8.58
2013-11-14,8.07,8.57,8.07,8.56,1910700,8.56
2013-11-13,8.21,8.27,8.10,8.17,784000,8.17
2013-11-12,8.02,8.35,7.91,8.31,907400,8.31
2013-11-11,7.91,8.03,7.84,8.03,479500,8.03
2013-11-08,8.05,8.05,7.87,7.90,457900,7.90
2013-11-07,8.10,8.18,7.99,8.06,499000,8.06
2013-11-06,8.17,8.32,8.10,8.11,473100,8.11
2013-11-05,8.15,8.25,8.07,8.24,366500,8.24
2013-11-04,8.04,8.18,8.04,8.16,401100,8.16
2013-11-01,8.13,8.15,8.01,8.11,499800,8.11
2013-10-31,8.08,8.17,8.06,8.14,442300,8.14
2013-10-30,7.93,8.18,7.83,8.16,588100,8.16
2013-10-29,8.38,8.40,7.68,7.93,1022800,7.93
2013-10-28,8.44,8.48,8.24,8.34,631400,8.34
2013-10-25,8.77,8.78,8.39,8.50,1083400,8.50
2013-10-24,8.54,8.83,8.47,8.74,1427900,8.74
2013-10-23,8.71,8.71,8.48,8.58,1228400,8.58
2013-10-22,8.60,8.87,8.57,8.76,1958600,8.76
2013-10-21,8.39,8.64,8.38,8.59,1001300,8.59
2013-10-18,8.31,8.44,8.31,8.38,293500,8.38
2013-10-17,8.37,8.47,8.33,8.37,614700,8.37
2013-10-16,8.58,8.58,8.26,8.31,1111600,8.31
2013-10-15,8.69,8.76,8.54,8.62,1096100,8.62
2013-10-14,8.57,8.77,8.55,8.68,1614400,8.68
2013-10-11,8.50,8.56,8.44,8.54,930200,8.54
2013-10-10,8.65,8.65,8.44,8.44,764300,8.44
2013-10-09,8.54,8.69,8.45,8.62,1090000,8.62
2013-10-08,8.58,8.58,8.40,8.54,1247800,8.54
2013-10-07,8.52,8.52,8.52,8.52,000,8.52
2013-10-04,8.52,8.52,8.52,8.52,000,8.52
2013-10-03,8.52,8.52,8.52,8.52,000,8.52
2013-10-02,8.52,8.52,8.52,8.52,000,8.52
2013-10-01,8.52,8.52,8.52,8.52,000,8.52
2013-09-30,8.59,8.68,8.47,8.52,811900,8.52
2013-09-27,8.43,8.63,8.43,8.60,1540700,8.60
2013-09-26,8.34,8.52,8.26,8.43,1132200,8.43
2013-09-25,8.38,8.41,8.27,8.32,622800,8.32
2013-09-24,8.41,8.41,8.22,8.38,863200,8.38
2013-09-23,8.21,8.43,8.20,8.42,948200,8.42
2013-09-20,8.21,8.21,8.21,8.21,000,8.21
2013-09-18,8.15,8.28,8.00,8.21,757100,8.21
2013-09-17,8.47,8.53,8.16,8.20,995800,8.20
